,Date,Currency,Buying (NGN),Central (NGN),Selling (NGN)
0,4/26/2019,US DOLLAR ,305.9,306.4,306.9
1, ,POUNDS STERLING ,394.3969,395.0415,395.6862
2, ,EURO ,340.5891,341.1458,341.7025
3, ,SWISS FRANC ,299.4323,299.9217,300.4111
4, ,YEN ,2.7356,2.7401,2.7446
5, ,CFA ,0.4996,0.5096,0.5196
6, ,WAUA ,421.6497,422.3389,423.0281
7, ,YUAN/RENMINBI ,45.4132,45.4878,45.5625
8, ,RIYAL ,81.569,81.7023,81.8356
9, ,SOUTH AFRICAN RAND ,21.2092,21.2438,21.2785
10, ,DANISH KRONA ,45.6247,45.6993,45.7739
11, ,SDR ,422.3255,423.0158,423.7061
12,4/25/2019,US DOLLAR ,305.9,306.4,306.9
13, ,POUNDS STERLING ,393.8157,394.4594,395.1031
14, ,EURO ,340.3443,340.9006,341.4569
15, ,SWISS FRANC ,299.2272,299.7163,300.2054
16, ,YEN ,2.7339,2.7384,2.7429
17, ,CFA ,0.5036,0.5136,0.5236
18, ,WAUA ,422.9476,423.6389,424.3302
19, ,YUAN/RENMINBI ,45.3263,45.4009,45.4754
20, ,RIYAL ,81.5668,81.7001,81.8335
21, ,SOUTH AFRICAN RAND ,21.0562,21.0906,21.125
22, ,DANISH KRONA ,45.5832,45.6577,45.7323
23, ,SDR ,423.6103,424.3027,424.9951
24,4/24/2019,US DOLLAR ,305.9,306.4,306.9
25, ,POUNDS STERLING ,396.2017,396.8493,397.4969
26, ,EURO ,342.8527,343.4131,343.9735
27, ,SWISS FRANC ,300.3142,300.805,301.2959
28, ,YEN ,2.7352,2.7396,2.7441
29, ,CFA ,0.5053,0.5153,0.5253
30, ,WAUA ,423.6531,424.3455,425.038
31, ,YUAN/RENMINBI ,45.526,45.6009,45.6758
32, ,RIYAL ,81.569,81.7023,81.8356
33, ,SOUTH AFRICAN RAND ,21.3157,21.3506,21.3854
34, ,DANISH KRONA ,45.9158,45.9908,46.0659
35, ,SDR ,424.3445,425.0381,425.7317
36,4/23/2019,US DOLLAR ,305.9,306.4,306.9
37, ,POUNDS STERLING ,396.2935,396.9412,397.589
38, ,EURO ,343.0669,343.6276,344.1884
39, ,SWISS FRANC ,299.3444,299.8336,300.3229
40, ,YEN ,2.7313,2.7357,2.7402
41, ,CFA ,0.5054,0.5154,0.5254
42, ,WAUA ,423.7008,424.3934,425.0859
43, ,YUAN/RENMINBI ,45.5091,45.5839,45.6588
44, ,RIYAL ,81.569,81.7023,81.8356
45, ,SOUTH AFRICAN RAND ,21.4689,21.504,21.5391
46, ,DANISH KRONA ,45.9482,46.0233,46.0984
47, ,SDR ,424.3139,425.0074,425.701
48,4/17/2019,US DOLLAR ,305.95,306.45,306.95
49, ,POUNDS STERLING ,399.3871,400.0398,400.6925
50, ,EURO ,345.8765,346.4417,347.007
51, ,SWISS FRANC ,303.5218,304.0179,304.5139
52, ,YEN ,2.7317,2.7362,2.7406
53, ,WAUA ,424.5686,425.2624,425.9563
54, ,YUAN/RENMINBI ,45.7377,45.8129,45.8881
55, ,RIYAL ,81.5845,81.7178,81.8512
56, ,SOUTH AFRICAN RAND ,21.9036,21.9394,21.9752
57, ,DANISH KRONA ,46.3336,46.4093,46.485
58, ,SDR ,425.2705,425.9655,426.6605
59,4/16/2019,US DOLLAR ,305.95,306.45,306.95
60, ,POUNDS STERLING ,399.6319,400.285,400.9381
61, ,EURO ,345.7541,346.3191,346.8842
62, ,SWISS FRANC ,304.1252,304.6223,305.1193
63, ,YEN ,2.7324,2.7369,2.7414
64, ,CFA ,0.5085,0.5185,0.5285
65, ,WAUA ,424.7336,425.4277,426.1218
66, ,YUAN/RENMINBI ,45.5837,45.6586,45.7336
67, ,RIYAL ,81.5845,81.7178,81.8512
68, ,SOUTH AFRICAN RAND ,21.697,21.7325,21.768
69, ,DANISH KRONA ,46.3392,46.4149,46.4907
70, ,SDR ,425.2705,425.9655,426.6605
71,4/15/2019,US DOLLAR ,305.95,306.45,306.95
72, ,POUNDS STERLING ,401.3146,401.9705,402.6263
73, ,EURO ,346.1518,346.7175,347.2832
74, ,SWISS FRANC ,305.0653,305.5639,306.0624
75, ,YEN ,2.731,2.7354,2.7399
76, ,CFA ,0.509,0.519,0.529
77, ,WAUA ,424.7326,425.4267,426.1208
78, ,YUAN/RENMINBI ,45.6075,45.6824,45.7574
79, ,RIYAL ,81.5801,81.7135,81.8468
80, ,SOUTH AFRICAN RAND ,21.8806,21.9164,21.9521
81, ,DANISH KRONA ,46.3673,46.4431,46.5189
82, ,SDR ,425.3317,426.0268,426.7219
83,4/12/2019,US DOLLAR ,306,306.5,307
84, ,POUNDS STERLING ,400.8906,401.5457,402.2007
85, ,EURO ,346.239,346.8048,347.3705
86, ,SWISS FRANC ,305.7248,306.2244,306.7239
87, ,YEN ,2.7326,2.7371,2.7416
88, ,CFA ,0.507,0.517,0.527
89, ,WAUA ,424.4211,425.1146,425.8081
90, ,YUAN/RENMINBI ,45.604,45.679,45.754
91, ,RIYAL ,81.5935,81.7268,81.8601
92, ,SOUTH AFRICAN RAND ,21.9523,21.9882,22.0241
93, ,DANISH KRONA ,46.3819,46.4577,46.5335
94, ,SDR ,425.2788,425.9737,426.6686
95,4/11/2019,US DOLLAR ,306,306.5,307
96, ,POUNDS STERLING ,400.1562,400.8101,401.4639
97, ,EURO ,344.7396,345.3029,345.8662
98, ,SWISS FRANC ,304.9631,305.4614,305.9597
99, ,YEN ,2.7513,2.7558,2.7603
